player,wins,win_pct,avg_set_diff,avg_point_diff,matches_played,unique_opponents,avg_opponent_win_pct,cluster,distance_to_centroid,cluster_description
Chuliukov S.,8,0.5333333333333333,0.26666666666666666,-0.2,15,8,0.47473015261250556,1,1.3862875027602348,Stronger performance
Chumak M.,12,0.6,0.75,2.95,20,9,0.44800000000000006,1,0.9665158548489082,Stronger performance
Chumak V.,16,0.64,0.48,2.08,25,11,0.4904,1,0.7143968594719449,Stronger performance
Cuba M.,16,0.6153846153846154,0.5,1.8076923076923077,26,16,0.39460826495464707,1,3.1099045855393785,Stronger performance
Cucerovschii S.,12,0.6,0.1,-0.25,20,7,0.4319923336783802,1,1.9461583893747472,Stronger performance
Culak J.,14,0.7,0.9,3.85,20,8,0.4477777777777778,1,1.1621907160256895,Stronger performance
Danilov I.,10,0.7142857142857143,0.6428571428571429,2.142857142857143,14,8,0.5967526969401246,1,3.5683454945054947,Stronger performance
Danilov O.,9,0.6,0.26666666666666666,0.7333333333333333,15,11,0.5088463129700069,1,1.4207658783380777,Stronger performance
Dekhtiarenko A.,10,0.5,-0.15,-0.25,20,11,0.46937268355618106,1,1.8500269125326496,Stronger performance
Doubek K.,13,0.65,0.4,3.35,20,9,0.4828220335321062,1,0.43096238621181915,Stronger performance
Drobov D.,13,0.65,0.85,4.05,20,7,0.4946120251928522,1,0.8656620993866551,Stronger performance
Dubrovin V.,28,0.6829268292682927,0.7317073170731707,2.5853658536585367,41,9,0.5301149941004232,1,1.7976801703389453,Stronger performance
Dubyna I.,15,0.75,1.6,7.05,20,7,0.45,1,2.2618303097764376,Stronger performance
Dukhovenko O.,39,0.65,0.85,3.1666666666666665,60,7,0.5349615665664259,1,2.5725386210806036,Stronger performance
Dyrl V.,15,0.625,0.4166666666666667,1.0833333333333333,24,5,0.4059831593927894,1,2.4752339167692896,Stronger performance
Evstratii V.,9,0.47368421052631576,-0.05263157894736842,0.21052631578947367,19,10,0.46858761972009483,1,1.7505125984343017,Stronger performance
Fafek J.,15,0.625,0.5,1.6666666666666667,24,10,0.55078125,1,2.1814581799885158,Stronger performance
Fiser P.,10,0.625,0.5625,1.5625,16,8,0.44474178913157575,1,1.185748401614199,Stronger performance
Grinenko K.,22,0.5945945945945946,0.4594594594594595,2.135135135135135,37,13,0.4670096402134218,1,1.3719084984029084,Stronger performance
Gudimenko E.,23,0.6571428571428571,0.6285714285714286,3.0285714285714285,35,10,0.45122060252672497,1,1.046646725674317,Stronger performance
Hajek M.,11,0.55,0.55,4.15,20,14,0.5063027713794762,1,1.6927957836823804,Stronger performance
Hofmann M.,8,0.6666666666666666,0.6666666666666666,-0.25,12,7,0.5066550925925926,1,1.5055326467144898,Stronger performance
Horchakov V.,23,0.6571428571428571,0.45714285714285713,1.1714285714285715,35,12,0.5080377566063996,1,1.4400032200799322,Stronger performance
Hot S.,23,0.575,0.45,2.225,40,11,0.4902261904761905,1,1.175117129445722,Stronger performance
Hovorunets S.,41,0.6833333333333333,0.9666666666666667,5.266666666666667,60,10,0.477991718426501,1,2.0914302781445575,Stronger performance
